Year,ExpandedAccess,Interventional,Observational
1999-09-17,0,2,0
1999-09-20,0,165,4
1999-09-23,0,49,5
1999-10-18,0,121,36
1999-10-27,0,161,2
1999-10-29,0,10,0
1999-11-01,0,1269,28
1999-11-02,0,968,37
1999-11-03,0,303,360
1999-12-10,0,124,1
2000-01-17,0,16,1
2000-01-18,0,31,11
2000-01-20,0,0,5
2000-01-21,0,36,2
2000-01-23,0,1,0
2000-01-24,0,1,0
2000-01-25,0,1,0
2000-01-26,0,1,2
2000-01-28,0,52,2
2000-01-29,0,1,0
2000-02-03,0,4,1
2000-02-04,0,2,0
2000-02-08,0,0,2
2000-02-09,0,6,0
2000-02-10,0,1,0
2000-02-11,0,2,3
2000-02-12,0,1,0
2000-02-14,0,0,1
2000-02-15,0,1,1
2000-02-16,0,0,1
2000-02-17,0,2,1
2000-02-18,0,1,1
2000-02-19,0,1,0
2000-02-23,0,2,0
2000-02-24,0,97,12
2000-02-25,0,10,0
2000-02-26,0,0,1
2000-02-28,0,1,0
2000-02-29,0,2,0
2000-03-02,0,2,4
2000-03-04,0,1,0
2000-03-07,0,78,2
2000-03-08,0,1,0
2000-03-10,0,2,0
2000-03-13,0,4,0
2000-03-15,0,1,0
2000-03-16,0,2,0
2000-03-17,0,2,0
2000-03-18,0,2,1
2000-03-21,0,5,0
2000-03-22,0,1,2
2000-03-23,0,0,2
2000-03-24,0,3,0
2000-03-28,0,2,0
2000-03-29,0,1,1
2000-03-31,0,3,0
2000-04-01,0,0,1
2000-04-03,0,1,0
2000-04-04,0,1,1
2000-04-06,0,79,9
2000-04-07,0,1,0
2000-04-11,0,2,0
2000-04-13,0,2,1
2000-04-14,0,1,0
2000-04-15,0,1,0
2000-04-18,0,1,0
2000-04-19,0,1,0
2000-04-20,0,1,0
2000-04-22,0,3,1
2000-04-25,0,1,0
2000-04-28,0,0,1
2000-05-01,0,1,0
2000-05-02,0,79,3
2000-05-04,0,1,0
2000-05-06,0,0,1
2000-05-09,0,1,0
2000-05-11,0,1,0
2000-05-12,0,0,1
2000-05-17,0,0,1
2000-05-18,0,1,0
2000-05-19,0,3,1
2000-05-23,0,1,0
2000-05-24,0,1,1
2000-05-25,0,7,515
2000-05-26,0,2,2
2000-05-30,0,1,0
2000-06-01,0,10,3
2000-06-02,0,109,2
2000-06-03,0,6,2
2000-06-06,0,1,1
2000-06-07,0,1,0
2000-06-09,0,2,1
2000-06-13,0,2,2
2000-06-14,0,1,0
2000-06-15,0,1,2
2000-06-16,0,0,2
2000-06-17,0,0,1
2000-06-19,0,2,0
2000-06-22,0,1,0
2000-06-23,0,0,1
2000-06-24,0,1,1
2000-06-28,0,2,1
2000-06-30,0,1,0
2000-07-04,0,0,1
2000-07-05,0,120,4
2000-07-06,0,3,1
2000-07-11,0,1,0
2000-07-14,0,1,0
2000-07-18,0,2,0
2000-07-21,0,0,1
2000-07-25,0,1,1
2000-07-27,0,1,0
2000-07-28,0,0,1
2000-08-03,0,61,3
2000-08-04,0,1,0
2000-08-07,0,7,0
2000-08-08,0,14,2
2000-08-09,0,3,0
2000-08-10,0,0,1
2000-08-11,0,2,1
2000-08-12,0,0,3
2000-08-15,0,1,0
2000-08-17,0,1,0
2000-08-18,0,1,0
2000-08-19,0,1,0
2000-08-21,0,2,0
2000-08-22,0,1,0
2000-08-23,0,1,0
2000-08-25,0,3,0
2000-08-26,0,0,1
2000-08-29,0,0,1
2000-08-31,0,0,1
2000-09-07,0,4,0
2000-09-09,0,4,0
2000-09-11,0,65,5
2000-09-14,0,3,1
2000-09-16,0,0,1
2000-09-21,0,1,1
2000-09-22,0,1,0
2000-09-23,0,1,0
2000-09-25,0,0,4
2000-09-26,0,0,1
2000-09-27,0,1,3
2000-09-28,0,1,11
2000-09-30,0,1,2
2000-10-02,0,4,3
2000-10-04,0,58,8
2000-10-05,0,1,0
2000-10-07,0,1,0
2000-10-10,0,2,0
2000-10-12,0,3,7
2000-10-13,0,2,0
2000-10-17,0,1,1
2000-10-19,0,0,1
2000-10-24,0,1,0
2000-10-25,0,0,1
2000-10-26,0,0,2
2000-10-27,0,1,1
2000-10-28,0,0,1
2000-10-31,0,0,1
2000-11-01,0,4,0
2000-11-03,0,9,5
2000-11-04,0,6,0
2000-11-06,0,41,0
2000-11-07,0,1,0
2000-11-08,0,2,1
2000-11-09,0,0,1
2000-11-14,0,1,1
2000-11-15,0,1,0
2000-11-16,0,0,9
2000-11-17,0,2,0
2000-11-18,0,1,0
2000-11-20,0,0,5
2000-11-21,0,1,1
2000-11-22,0,1,1
2000-11-23,0,1,0
2000-11-24,0,1,0
2000-11-28,0,0,3
2000-12-01,0,3,0
2000-12-06,0,31,2
2000-12-07,0,1,3
2000-12-09,0,2,1
2000-12-14,0,1,0
2000-12-15,0,1,2
2000-12-16,0,8,1
2000-12-19,0,4,4
2000-12-22,0,1,0
2000-12-23,0,0,1
2000-12-29,0,12,8
2001-01-04,0,1,0
2001-01-05,0,1,0
2001-01-06,0,49,1
2001-01-09,0,2,0
2001-01-12,0,2,1
2001-01-13,0,2,1
2001-01-16,0,3,4
2001-01-17,0,1,0
2001-01-18,0,2,2
2001-01-20,0,1,0
2001-01-23,0,7,1
2001-01-24,0,0,1
2001-01-25,0,0,1
2001-01-27,0,1,1
2001-02-01,0,5,2
