Month,Expanded Access,Interventional,Observational
Sep 1999,0,216,9
Oct 1999,0,292,38
Nov 1999,0,2540,425
Dec 1999,0,124,1
Jan 2000,0,140,23
Feb 2000,0,133,24
Mar 2000,0,110,12
Apr 2000,0,95,14
May 2000,0,99,525
Jun 2000,0,140,19
Jul 2000,0,129,9
Aug 2000,0,99,13
Sep 2000,0,82,29
Oct 2000,0,74,26
Nov 2000,0,72,27
Dec 2000,0,64,22
Jan 2001,0,72,13
Feb 2001,0,123,36
Mar 2001,0,117,29
Apr 2001,0,84,27
May 2001,0,65,8
Jun 2001,0,79,13
Jul 2001,0,186,20
Aug 2001,0,91,27
Sep 2001,0,90,17
Oct 2001,0,65,13
Nov 2001,0,66,30
Dec 2001,0,65,10
Jan 2002,0,96,18
Feb 2002,0,73,14
Mar 2002,0,86,14
Apr 2002,0,114,17
May 2002,0,252,41
Jun 2002,0,126,12
Jul 2002,2,117,21
Aug 2002,0,121,18
Sep 2002,1,116,22
Oct 2002,0,118,8
Nov 2002,0,105,17
Dec 2002,0,51,8
Jan 2003,0,154,16
Feb 2003,0,118,10
Mar 2003,0,125,13
Apr 2003,0,125,23
May 2003,0,120,16
Jun 2003,1,116,19
Jul 2003,1,140,18
Aug 2003,0,132,19
Sep 2003,0,102,22
Oct 2003,1,115,28
Nov 2003,0,112,12
Dec 2003,1,84,19
Jan 2004,0,97,17
Feb 2004,1,109,14
Mar 2004,0,133,6
Apr 2004,0,97,18
May 2004,0,93,14
Jun 2004,0,158,19
Jul 2004,0,148,19
Aug 2004,0,129,7
Sep 2004,0,155,16
Oct 2004,1,129,15
Nov 2004,2,174,27
Dec 2004,0,170,19
Jan 2005,0,145,15
Feb 2005,0,115,11
Mar 2005,0,159,22
Apr 2005,0,183,12
May 2005,0,186,10
Jun 2005,0,437,33
Jul 2005,0,538,35
Aug 2005,1,1220,90
Sep 2005,6,5671,1051
Oct 2005,2,1019,128
Nov 2005,0,885,106
Dec 2005,1,688,123
Jan 2006,0,906,145
Feb 2006,2,819,121
Mar 2006,1,785,124
Apr 2006,0,659,93
May 2006,0,772,125
Jun 2006,2,811,336
Jul 2006,1,732,125
Aug 2006,0,776,130
Sep 2006,1,808,98
Oct 2006,0,762,103
Nov 2006,0,794,108
Dec 2006,1,678,106
Jan 2007,2,855,121
Feb 2007,1,786,124
Mar 2007,1,816,160
Apr 2007,1,792,181
May 2007,1,841,164
Jun 2007,3,856,174
Jul 2007,2,947,203
Aug 2007,3,883,184
Sep 2007,2,864,158
Oct 2007,1,970,145
Nov 2007,0,908,154
Dec 2007,11,1572,469
Jan 2008,3,1355,288
Feb 2008,1,1158,190
Mar 2008,5,1287,201
Apr 2008,2,1221,236
May 2008,3,1162,250
Jun 2008,2,1121,299
Jul 2008,2,1108,344
Aug 2008,2,1065,198
Sep 2008,4,1198,269
Oct 2008,1,1215,268
Nov 2008,2,974,218
Dec 2008,4,1031,207
Jan 2009,3,1153,231
Feb 2009,3,1162,287
Mar 2009,5,1197,259
Apr 2009,2,1073,285
May 2009,1,591,353
Jun 2009,0,14,2
Jul 2009,0,25,8
Aug 2009,0,32,9
Sep 2009,0,54,13
Oct 2009,2,474,118
Nov 2009,0,1044,249
Dec 2009,2,1055,289
Jan 2010,1,1167,273
Feb 2010,1,1079,373
Mar 2010,0,1204,351
Apr 2010,1,1178,314
May 2010,2,1179,304
Jun 2010,2,1196,369
Jul 2010,2,1124,330
Aug 2010,1,1176,299
Sep 2010,6,1164,338
Oct 2010,5,1166,284
Nov 2010,4,1183,305
Dec 2010,3,1029,288
Jan 2011,1,1186,350
Feb 2011,2,1098,305
Mar 2011,4,1249,378
Apr 2011,0,1101,283
May 2011,1,1141,333
Jun 2011,6,1302,431
Jul 2011,1,1161,357
Aug 2011,4,1247,350
Sep 2011,3,1176,310
Oct 2011,2,1194,282
Nov 2011,3,1195,305
Dec 2011,1,1169,284
Jan 2012,4,1360,319
Feb 2012,2,1297,318
Mar 2012,1,1430,391
Apr 2012,2,1179,323
May 2012,4,1272,327
Jun 2012,4,1316,380
Jul 2012,3,1401,306
Aug 2012,1,1305,397
Sep 2012,1,1152,303
Oct 2012,2,1350,383
Nov 2012,3,1310,315
Dec 2012,2,1145,311
Jan 2013,6,1346,379
Feb 2013,7,1238,324
Mar 2013,1,1289,323
Apr 2013,4,1354,338
May 2013,3,1474,370
Jun 2013,4,1322,317
Jul 2013,4,1437,336
Aug 2013,4,1275,312
Sep 2013,4,1294,320
Oct 2013,1,1479,340
Nov 2013,5,1422,423
Dec 2013,5,1366,358
Jan 2014,4,1615,419
Feb 2014,3,1440,411
Mar 2014,8,1602,408
Apr 2014,1,1601,372
May 2014,10,1472,391
Jun 2014,5,1533,416
Jul 2014,5,1675,430
Aug 2014,4,1482,339
Sep 2014,5,1618,441
Oct 2014,3,1729,397
Nov 2014,3,1411,361
Dec 2014,2,1506,421
Jan 2015,2,1648,381
Feb 2015,4,1526,411
Mar 2015,3,1670,497
Apr 2015,5,1614,442
May 2015,5,1562,396
Jun 2015,11,1704,406
Jul 2015,4,1608,358
Aug 2015,4,1570,356
Sep 2015,6,1524,424
Oct 2015,8,1744,395
Nov 2015,1,1673,393
Dec 2015,5,1591,372
Jan 2016,1,1712,466
Feb 2016,5,1734,418
Mar 2016,3,1970,468
Apr 2016,3,1755,451
May 2016,3,1884,539
Jun 2016,4,1863,584
Jul 2016,3,1794,607
Aug 2016,4,2021,699
Sep 2016,3,1708,572
Oct 2016,4,1799,465
Nov 2016,7,1787,456
Dec 2016,2,1688,438
Jan 2017,7,1876,533
Feb 2017,7,1795,534
Mar 2017,5,2097,605
Apr 2017,13,1827,539
May 2017,8,2076,673
Jun 2017,3,1840,583
Jul 2017,0,1809,554
Aug 2017,5,1851,666
Sep 2017,1,1753,535
Oct 2017,4,1864,597
Nov 2017,2,1937,615
Dec 2017,3,1629,513
Jan 2018,7,1988,659
Feb 2018,3,1841,592
Mar 2018,3,2010,713
Apr 2018,6,1903,562
May 2018,10,1952,599
Jun 2018,7,1762,535
Jul 2018,5,1926,676
Aug 2018,6,2108,628
Sep 2018,2,1820,614
Oct 2018,10,2127,623
Nov 2018,6,1967,566
Dec 2018,8,1698,527
Jan 2019,5,2200,637
Feb 2019,7,1858,591
Mar 2019,7,2094,739
Apr 2019,12,2104,693
May 2019,3,2107,732
Jun 2019,1,1831,587
Jul 2019,4,2068,705
Aug 2019,8,1844,620
Sep 2019,5,1974,646
Oct 2019,8,2124,785
Nov 2019,3,1904,624
Dec 2019,3,1827,614
Jan 2020,6,2120,655
Feb 2020,8,2080,734
Mar 2020,10,2035,779
Apr 2020,19,2184,997
May 2020,6,2054,989
Jun 2020,11,2170,968
Jul 2020,9,2088,826
Aug 2020,11,1671,609
Sep 2020,0,13,2
