Month,Expanded Access,Interventional,Observational
1999 Q3,0,216,9
1999 Q4,0,2956,464
2000 Q1,0,383,59
2000 Q2,0,334,558
2000 Q3,0,310,51
2000 Q4,0,210,75
2001 Q1,0,312,78
2001 Q2,0,228,48
2001 Q3,0,367,64
2001 Q4,0,196,53
2002 Q1,0,255,46
2002 Q2,0,492,70
2002 Q3,3,354,61
2002 Q4,0,274,33
2003 Q1,0,397,39
2003 Q2,1,361,58
2003 Q3,1,374,59
2003 Q4,2,311,59
2004 Q1,1,339,37
2004 Q2,0,348,51
2004 Q3,0,432,42
2004 Q4,3,473,61
2005 Q1,0,419,48
2005 Q2,0,806,55
2005 Q3,7,7429,1176
2005 Q4,3,2592,357
2006 Q1,3,2510,390
2006 Q2,2,2242,554
2006 Q3,2,2316,353
2006 Q4,1,2234,317
2007 Q1,4,2457,405
2007 Q2,5,2489,519
2007 Q3,7,2694,545
2007 Q4,12,3450,768
2008 Q1,9,3800,679
2008 Q2,7,3504,785
2008 Q3,8,3371,811
2008 Q4,7,3220,693
2009 Q1,11,3512,777
2009 Q2,3,1678,640
2009 Q3,0,111,30
2009 Q4,4,2573,656
2010 Q1,2,3450,997
2010 Q2,5,3553,987
2010 Q3,9,3464,967
2010 Q4,12,3378,877
2011 Q1,7,3533,1033
2011 Q2,7,3544,1047
2011 Q3,8,3584,1017
2011 Q4,6,3558,871
2012 Q1,7,4087,1028
2012 Q2,10,3767,1030
2012 Q3,5,3858,1006
2012 Q4,7,3805,1009
2013 Q1,14,3873,1026
2013 Q2,11,4150,1025
2013 Q3,12,4006,968
2013 Q4,11,4267,1121
2014 Q1,15,4657,1238
2014 Q2,16,4606,1179
2014 Q3,14,4775,1210
2014 Q4,8,4646,1179
2015 Q1,9,4844,1289
2015 Q2,21,4880,1244
2015 Q3,14,4702,1138
2015 Q4,14,5008,1160
2016 Q1,9,5416,1352
2016 Q2,10,5502,1574
2016 Q3,10,5523,1878
2016 Q4,13,5274,1359
2017 Q1,19,5768,1672
2017 Q2,24,5743,1795
2017 Q3,6,5413,1755
2017 Q4,9,5430,1725
2018 Q1,13,5839,1964
2018 Q2,23,5617,1696
2018 Q3,13,5854,1918
2018 Q4,24,5792,1716
2019 Q1,19,6152,1967
2019 Q2,16,6042,2012
2019 Q3,17,5886,1971
2019 Q4,14,5855,2023
2020 Q1,24,6235,2168
2020 Q2,36,6408,2954
2020 Q3,20,3772,1437
